fixture_id,name,label,display_name,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_files,flags
39,HelDGB8S 39,HelDGB8S 39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.433,2,433,8,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
40,HelDGB8S 40,HelDGB8S 40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.457,2,457,9,-3,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
101,RSpiide3 1,RSpiide3 1,RSpiide3 1,7 Robin Spiider Mode 3,7,4.034,4,34,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
102,RSpiide3 2,RSpiide3 2,RSpiide3 2,7 Robin Spiider Mode 3,7,4.001,4,1,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
103,RSpiide3 3,RSpiide3 3,RSpiide3 3,7 Robin Spiider Mode 3,7,4.067,4,67,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
104,RSpiide3 4,RSpiide3 4,RSpiide3 4,7 Robin Spiider Mode 3,7,4.100,4,100,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
105,RSpiide3 5,RSpiide3 5,RSpiide3 5,7 Robin Spiider Mode 3,7,4.133,4,133,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
106,RSpiide3 6,RSpiide3 6,RSpiide3 6,7 Robin Spiider Mode 3,7,4.166,4,166,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
107,RSpiide3 7,RSpiide3 7,RSpiide3 7,7 Robin Spiider Mode 3,7,4.271,4,271,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
108,RSpiide3 8,RSpiide3 8,RSpiide3 8,7 Robin Spiider Mode 3,7,4.304,4,304,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
201,SPIDER 33 1,SPIDER 33 1,SPIDER 33 1,7 Robin Spiider Mode 3,7,4.403,4,403,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
202,SPIDER 33 2,SPIDER 33 2,SPIDER 33 2,7 Robin Spiider Mode 3,7,4.436,4,436,0,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
1001,,,Fixture 1001,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1002,,,Fixture 1002,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1003,,,Fixture 1003,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1004,,,Fixture 1004,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1005,,,Fixture 1005,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1006,,,Fixture 1006,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1007,,,Fixture 1007,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
1008,,,Fixture 1008,,,,,,,,,,,,,,,[],"{""is_patched"": false, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": false, ""has_patch_data"": false, ""has_fixture_type"": false, ""referenced_in_atoms"": true}"
