sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,hard_value_count,preset_value_count
2,qju,0,Cue Zero,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],19,0
2,qju,0,Cue Zero,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],19,0
2,qju,0,Cue Zero,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],17,0
2,qju,0,Cue Zero,201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],19,0
2,qju,0,Cue Zero,202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,"[""H DIM=DefaultLink"", ""H SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],19,0
