fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
7,,,,COLORRGB31,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,,,,COLORRGB32,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,,,,COLORRGB33,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,,,,COLORRGB35,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,,,,COLORRGB31,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,,,,COLORRGB32,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,,,,COLORRGB33,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,,,,COLORRGB35,0.00,10,2,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu | 10.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
1,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
2,,,,COLORRGB1,100.00,6,3,1.1 Cue 1 | 2.36 Jen prava strana - Wilda na schodech | 2.46 Velkej ptak | 2.55 Groteska boj o zradlo - Velikeho racka | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.89 koks KOUR GARAZ,repeated hard value candidate for preset cleanup
2,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
3,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
4,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
5,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
6,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
7,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
8,,,,COLORRGB3,100.00,6,3,1.1 Cue 1 | 2.55 Groteska boj o zradlo - Velikeho racka | 10.27 beegees 6:37.6 | 10.75 Projede Lavka | 10.89 koks KOUR GARAZ | 10.98 Flo BLESK kdyz se vyfoti tereze,repeated hard value candidate for preset cleanup
21,,,,COLORRGB1,100.00,6,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 10.106 DUHA | 10.109 Blesk MIDI | 26.1 Cue 1,repeated hard value candidate for preset cleanup
22,,,,COLORRGB1,100.00,6,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 10.106 DUHA | 10.109 Blesk MIDI | 26.1 Cue 1,repeated hard value candidate for preset cleanup
