fixture_id,channel_id,subfixture_id,patch_target_type,patch_target_id,patch_target_key,name,label,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
38,,,fixture,38,fixture:38,HelDGB8S 38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.409,2,409,7,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""37"", ""name"": ""HelDGB8S 38"", ""fixtureid"": ""38"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
41,,,fixture,41,fixture:41,RLB350M1 1,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,12,13.001,13,1,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""35"", ""name"": ""RLB350M1 1"", ""fixtureid"": ""41"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
42,,,fixture,42,fixture:42,RLB350M1 2,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,12,13.023,13,23,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""36"", ""name"": ""RLB350M1 2"", ""fixtureid"": ""42"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
43,,,fixture,43,fixture:43,RLB350M1 3,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,12,13.045,13,45,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""37"", ""name"": ""RLB350M1 3"", ""fixtureid"": ""43"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
44,,,fixture,44,fixture:44,RLB350M1 4,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,12,13.067,13,67,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""38"", ""name"": ""RLB350M1 4"", ""fixtureid"": ""44"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
45,,,fixture,45,fixture:45,RLB350M1 5,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,12,13.089,13,89,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""39"", ""name"": ""RLB350M1 5"", ""fixtureid"": ""45"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
46,,,fixture,46,fixture:46,RLB350M1 6,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,12,13.111,13,111,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""40"", ""name"": ""RLB350M1 6"", ""fixtureid"": ""46"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
47,,,fixture,47,fixture:47,RLB350M1 7,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,12,5.001,5,1,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""41"", ""name"": ""RLB350M1 7"", ""fixtureid"": ""47"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
48,,,fixture,48,fixture:48,RLB350M1 8,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,12,5.023,5,23,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""42"", ""name"": ""RLB350M1 8"", ""fixtureid"": ""48"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
49,,,fixture,49,fixture:49,RLB350M1 9,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,12,5.045,5,45,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""43"", ""name"": ""RLB350M1 9"", ""fixtureid"": ""49"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
50,,,fixture,50,fixture:50,RLB350M1 10,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,12,5.067,5,67,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""44"", ""name"": ""RLB350M1 10"", ""fixtureid"": ""50"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
