preset_number,preset_type,preset_xml_index,preset_name,fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,reference_target,source_file
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
