owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,2,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:8:patch666_main_sequences.xml:9,,,,text,20,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,5,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,3,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,2,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:9:patch666_main_sequences.xml:10,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Delay
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,79.48716,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,49.378399,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,20.512842,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,53,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,79.487152,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,49.378403,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,1.9999998e-05,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,20.512848,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,43,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,50,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:10:patch666_main_sequences.xml:11,,,,text,30,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,postel hotova - pripadne holky vćhazeji,hard,,,[],Cue/InfoItems/Info
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,81,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,50,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,-13.495881,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,-44.54792,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,79.48716,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,49.378399,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,20.512842,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,18.630159,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,82.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,18.897638,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,10,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,-13.495879,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,-39.147926,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,76.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,10.804119,preset_ref,,preset:10.804119,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,-52.647923,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,79.487175,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,49.378407,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,20.512825,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,65,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,48,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,7,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,21.604122,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,45.902054,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,99.715096,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,40.037132,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:11:patch666_main_sequences.xml:12,,,,text,0.28490826,hard,,,[],Cue/CueDatas/CueData/Value
