fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
