fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
36,HelDGB8S 36,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.361,2,13,7,1,0,42,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14, ""DIM"": 12}","{""Color"": 42, ""Dimmer"": 12}",False,False,mixed
37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.385,2,17,7,1,0,46,12,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 16, ""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14}","{""Color"": 42, ""Dimmer"": 16}",False,False,mixed
38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.409,2,17,7,1,0,46,12,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 16, ""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14}","{""Color"": 42, ""Dimmer"": 16}",False,False,mixed
39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.433,2,17,7,1,0,46,12,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 16, ""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14}","{""Color"": 42, ""Dimmer"": 16}",False,False,mixed
40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.457,3,23,7,1,0,57,30,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 25, ""COLORRGB2"": 25, ""COLORRGB3"": 25, ""DIM"": 12}","{""Color"": 75, ""Dimmer"": 12}",False,False,mixed
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,2,51,28,1,0,553,322,0,0,"[""0"", ""2"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""SHUTTER"", ""POSITIONMSPEED""]","{""DIM"": 71, ""COLORRGB1"": 58, ""COLORRGB2"": 58, ""COLORRGB3"": 57, ""COLORRGB5"": 57, ""PAN"": 56, ""TILT"": 56, ""ZOOM"": 52, ""SHUTTER"": 48, ""POSITIONMSPEED"": 44, ""LAMPCONTROL"": 44, ""PIXELEFFECTS"": 44, ""PIXELEFFECTSSPEED"": 44, ""PIXELEFFECTSFADE"": 44, ""COLORMIXER"": 44, ""CTC"": 44, ""COLORMIXMODE"": 44, ""FLOWEREFFECT"": 5, ""FLOWERCOLORMACROS"": 5}","{""Color"": 318, ""Other"": 186, ""Position"": 156, ""Dimmer"": 119, ""Beam"": 52, ""Control"": 44}",False,False,mixed
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,2,51,29,1,0,555,343,0,0,"[""0"", ""2"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""SHUTTER"", ""COLORMIXER""]","{""DIM"": 74, ""COLORRGB1"": 59, ""COLORRGB2"": 59, ""COLORRGB3"": 59, ""COLORRGB5"": 59, ""PAN"": 56, ""TILT"": 56, ""ZOOM"": 51, ""SHUTTER"": 49, ""COLORMIXER"": 47, ""CTC"": 47, ""COLORMIXMODE"": 47, ""POSITIONMSPEED"": 45, ""LAMPCONTROL"": 45, ""PIXELEFFECTS"": 45, ""PIXELEFFECTSSPEED"": 45, ""PIXELEFFECTSFADE"": 45, ""FLOWEREFFECT"": 5, ""FLOWERCOLORMACROS"": 5}","{""Color"": 330, ""Other"": 192, ""Position"": 157, ""Dimmer"": 123, ""Beam"": 51, ""Control"": 45}",False,False,mixed
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,2,24,18,1,0,280,114,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""COLORMIXER"", ""CTC""]","{""DIM"": 32, ""COLORRGB1"": 30, ""COLORRGB2"": 30, ""COLORRGB3"": 30, ""COLORRGB5"": 30, ""PAN"": 25, ""TILT"": 25, ""ZOOM"": 24, ""COLORMIXER"": 22, ""CTC"": 22, ""COLORMIXMODE"": 22, ""POSITIONMSPEED"": 17, ""LAMPCONTROL"": 17, ""PIXELEFFECTS"": 17, ""PIXELEFFECTSSPEED"": 17, ""PIXELEFFECTSFADE"": 17, ""SHUTTER"": 17}","{""Color"": 164, ""Other"": 73, ""Position"": 67, ""Dimmer"": 49, ""Beam"": 24, ""Control"": 17}",False,False,mixed
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,3,27,17,1,0,297,114,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""DIM"", ""ZOOM"", ""PAN"", ""TILT"", ""COLORMIXER"", ""CTC""]","{""COLORRGB1"": 31, ""COLORRGB2"": 31, ""COLORRGB3"": 31, ""COLORRGB5"": 31, ""DIM"": 30, ""ZOOM"": 27, ""PAN"": 25, ""TILT"": 25, ""COLORMIXER"": 24, ""CTC"": 24, ""COLORMIXMODE"": 24, ""POSITIONMSPEED"": 18, ""LAMPCONTROL"": 18, ""PIXELEFFECTS"": 18, ""PIXELEFFECTSSPEED"": 18, ""PIXELEFFECTSFADE"": 18, ""SHUTTER"": 18}","{""Color"": 172, ""Other"": 78, ""Position"": 68, ""Dimmer"": 48, ""Beam"": 27, ""Control"": 18}",False,False,mixed
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,3,30,19,1,0,309,159,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""ZOOM"", ""PAN"", ""TILT"", ""COLORMIXER"", ""CTC""]","{""DIM"": 36, ""COLORRGB1"": 34, ""COLORRGB2"": 34, ""COLORRGB3"": 34, ""COLORRGB5"": 34, ""ZOOM"": 30, ""PAN"": 28, ""TILT"": 28, ""COLORMIXER"": 28, ""CTC"": 28, ""COLORMIXMODE"": 28, ""POSITIONMSPEED"": 22, ""LAMPCONTROL"": 22, ""SHUTTER"": 22, ""PIXELEFFECTS"": 20, ""PIXELEFFECTSSPEED"": 20, ""PIXELEFFECTSFADE"": 20}","{""Color"": 192, ""Other"": 88, ""Position"": 78, ""Dimmer"": 58, ""Beam"": 30, ""Control"": 22}",False,False,mixed
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,2,38,18,1,0,329,133,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""COLORMIXER"", ""CTC""]","{""DIM"": 44, ""COLORRGB1"": 34, ""COLORRGB2"": 34, ""COLORRGB3"": 34, ""COLORRGB5"": 34, ""PAN"": 31, ""TILT"": 30, ""ZOOM"": 29, ""COLORMIXER"": 25, ""CTC"": 25, ""COLORMIXMODE"": 25, ""POSITIONMSPEED"": 20, ""LAMPCONTROL"": 20, ""SHUTTER"": 20, ""PIXELEFFECTS"": 19, ""PIXELEFFECTSSPEED"": 19, ""PIXELEFFECTSFADE"": 19}","{""Color"": 186, ""Other"": 82, ""Position"": 81, ""Dimmer"": 64, ""Beam"": 29, ""Control"": 20}",False,False,mixed
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,3,42,21,0,0,402,201,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB1"", ""PAN"", ""TILT"", ""ZOOM"", ""COLORMIXER"", ""CTC""]","{""DIM"": 55, ""COLORRGB2"": 42, ""COLORRGB3"": 42, ""COLORRGB5"": 42, ""COLORRGB1"": 41, ""PAN"": 40, ""TILT"": 39, ""ZOOM"": 38, ""COLORMIXER"": 32, ""CTC"": 32, ""COLORMIXMODE"": 32, ""POSITIONMSPEED"": 28, ""LAMPCONTROL"": 28, ""PIXELEFFECTS"": 28, ""PIXELEFFECTSSPEED"": 28, ""PIXELEFFECTSFADE"": 28, ""SHUTTER"": 28}","{""Color"": 231, ""Other"": 116, ""Position"": 107, ""Dimmer"": 83, ""Beam"": 38, ""Control"": 28}",False,False,mixed
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,3,43,20,0,0,383,179,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB1"", ""PAN"", ""TILT"", ""ZOOM"", ""COLORMIXER"", ""CTC""]","{""DIM"": 55, ""COLORRGB2"": 40, ""COLORRGB3"": 40, ""COLORRGB5"": 40, ""COLORRGB1"": 39, ""PAN"": 38, ""TILT"": 37, ""ZOOM"": 33, ""COLORMIXER"": 30, ""CTC"": 30, ""COLORMIXMODE"": 30, ""POSITIONMSPEED"": 25, ""LAMPCONTROL"": 25, ""PIXELEFFECTS"": 25, ""PIXELEFFECTSSPEED"": 25, ""PIXELEFFECTSFADE"": 25, ""SHUTTER"": 25}","{""Color"": 219, ""Other"": 105, ""Position"": 100, ""Dimmer"": 80, ""Beam"": 33, ""Control"": 25}",False,False,mixed
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,2,48,20,1,0,415,225,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""SHUTTER"", ""POSITIONMSPEED""]","{""DIM"": 62, ""COLORRGB1"": 45, ""COLORRGB2"": 45, ""COLORRGB3"": 44, ""COLORRGB5"": 44, ""PAN"": 42, ""TILT"": 42, ""ZOOM"": 41, ""SHUTTER"": 33, ""POSITIONMSPEED"": 29, ""LAMPCONTROL"": 29, ""PIXELEFFECTS"": 29, ""PIXELEFFECTSSPEED"": 29, ""PIXELEFFECTSFADE"": 29, ""COLORMIXER"": 29, ""CTC"": 29, ""COLORMIXMODE"": 29, ""FLOWEREFFECT"": 5, ""FLOWERCOLORMACROS"": 5}","{""Color"": 236, ""Other"": 126, ""Position"": 113, ""Dimmer"": 95, ""Beam"": 41, ""Control"": 29}",False,False,mixed
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,2,50,21,1,0,421,248,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""SHUTTER"", ""COLORMIXER""]","{""DIM"": 65, ""COLORRGB1"": 45, ""COLORRGB2"": 45, ""COLORRGB3"": 45, ""COLORRGB5"": 45, ""PAN"": 44, ""TILT"": 44, ""ZOOM"": 40, ""SHUTTER"": 35, ""COLORMIXER"": 32, ""CTC"": 32, ""COLORMIXMODE"": 32, ""POSITIONMSPEED"": 31, ""LAMPCONTROL"": 31, ""PIXELEFFECTS"": 31, ""PIXELEFFECTSSPEED"": 31, ""PIXELEFFECTSFADE"": 31, ""FLOWEREFFECT"": 5, ""FLOWERCOLORMACROS"": 5}","{""Color"": 244, ""Other"": 135, ""Position"": 119, ""Dimmer"": 100, ""Beam"": 40, ""Control"": 31}",False,False,mixed
1001,,,,2,10,0,0,0,10,0,0,0,[],"[""DIM""]","{""DIM"": 10}","{""Dimmer"": 10}",False,False,hard_only
1002,,,,2,14,0,0,0,14,0,0,0,[],"[""DIM""]","{""DIM"": 14}","{""Dimmer"": 14}",False,False,hard_only
1003,,,,2,14,0,0,0,14,0,0,0,[],"[""DIM""]","{""DIM"": 14}","{""Dimmer"": 14}",False,False,hard_only
1004,,,,2,11,0,0,0,11,0,0,0,[],"[""DIM""]","{""DIM"": 11}","{""Dimmer"": 11}",False,False,hard_only
1005,,,,1,4,0,0,0,4,0,0,0,[],"[""DIM""]","{""DIM"": 4}","{""Dimmer"": 4}",False,False,hard_only
1006,,,,1,4,0,0,0,4,0,0,0,[],"[""DIM""]","{""DIM"": 4}","{""Dimmer"": 4}",False,False,hard_only
1007,,,,2,2,0,0,0,2,0,0,0,[],"[""DIM""]","{""DIM"": 2}","{""Dimmer"": 2}",False,False,hard_only
