sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
11,98,Flo BLESK kdyz se vyfoti tereze,8,Spiider 8,3 Robin Spiider Mode 3,4.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,1,lidi,21,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,1,lidi,22,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,1,lidi,23,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,1,lidi,24,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,1,lidi,25,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,1,lidi,26,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,21,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,22,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,23,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,24,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,25,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,113,lidi,26,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,114,8:15.150,21,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,114,8:15.150,22,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,114,8:15.150,23,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,114,8:15.150,24,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,114,8:15.150,25,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,114,8:15.150,26,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""PANROTATE"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
11,95,ukotveny zebrikr ondra nahoru blikam 111,14,Esprite 4,11 Robin Esprite Mode 2,3.043,mixed,7,"[""COLOR1"", ""COLOR2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""CTO"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.94""]","[""0""]"
11,113,lidi,15,Esprite 5,11 Robin Esprite Mode 2,3.085,mixed,6,"[""COLOR1"", ""COLOR2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""INTENSITYMACROS""]",1,"[""DIM""]",2,"[""0.39"", ""0.76""]","[""0""]"
11,112,DIKY,21,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,112,DIKY,22,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,112,DIKY,23,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,112,DIKY,24,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,112,DIKY,25,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
11,112,DIKY,26,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
