fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
4,Spiider 4,3 Robin Spiider Mode 3,2.100,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
4,Spiider 4,3 Robin Spiider Mode 3,2.100,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB3,100.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.75 Projede Lavka az na konci | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB5,0.00,6,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.89 koks KOUR GARAZ | 11.98 Flo BLESK kdyz se vyfoti tereze | 11.114 8:15.150,repeated hard value candidate for preset cleanup
13,Esprite 3,11 Robin Esprite Mode 2,3.001,COLOR1,0.00,6,2,11.68 Ondra klavir satna | 11.84 Gobo sex | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150 | 29.1 Cue 1,repeated hard value candidate for preset cleanup
13,Esprite 3,11 Robin Esprite Mode 2,3.001,COLOR2,0.00,6,2,11.68 Ondra klavir satna | 11.84 Gobo sex | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150 | 29.1 Cue 1,repeated hard value candidate for preset cleanup
23,,,,COLORRGB1,0.00,6,1,11.1 lidi | 11.106 DUHA | 11.109 Blesk MIDI | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150,repeated hard value candidate for preset cleanup
24,,,,COLORRGB1,0.00,6,1,11.1 lidi | 11.106 DUHA | 11.109 Blesk MIDI | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150,repeated hard value candidate for preset cleanup
25,,,,COLORRGB1,0.00,6,1,11.1 lidi | 11.106 DUHA | 11.109 Blesk MIDI | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150,repeated hard value candidate for preset cleanup
61,HotboxW8 1,14 Hotbox RGBW 8 channel,2.217,COLORRGB3,100.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
61,HotboxW8 1,14 Hotbox RGBW 8 channel,2.217,COLORRGB5,0.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
62,HotboxW8 2,14 Hotbox RGBW 8 channel,2.225,COLORRGB3,100.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
62,HotboxW8 2,14 Hotbox RGBW 8 channel,2.225,COLORRGB5,0.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
63,HotboxW8 3,14 Hotbox RGBW 8 channel,2.233,COLORRGB3,100.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
63,HotboxW8 3,14 Hotbox RGBW 8 channel,2.233,COLORRGB5,0.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
64,HotboxW8 4,14 Hotbox RGBW 8 channel,2.241,COLORRGB3,100.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
64,HotboxW8 4,14 Hotbox RGBW 8 channel,2.241,COLORRGB5,0.00,6,2,11.1 lidi | 11.36 9:46.888 | 11.36.5 koule pryc | 11.113 lidi | 11.114 8:15.150 | 24.1 Cue 1,repeated hard value candidate for preset cleanup
14,Esprite 4,11 Robin Esprite Mode 2,3.043,COLOR1,0.00,5,2,11.95 ukotveny zebrikr ondra nahoru blikam 111 | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150 | 29.1 Cue 1,repeated hard value candidate for preset cleanup
14,Esprite 4,11 Robin Esprite Mode 2,3.043,COLOR2,0.00,5,2,11.95 ukotveny zebrikr ondra nahoru blikam 111 | 11.112 DIKY | 11.113 lidi | 11.114 8:15.150 | 29.1 Cue 1,repeated hard value candidate for preset cleanup
